e, mu, tau, chi2
0.06896551724137931, 0.1724137931034483, 0.7586206896551724, 10.017016550336816
0.06896551724137931, 0.20689655172413793, 0.7241379310344828, 6.686616833908314
0.06896551724137931, 0.24137931034482757, 0.6896551724137931, 4.1609333003291615
0.06896551724137931, 0.27586206896551724, 0.6551724137931034, 2.4319189395167715
0.06896551724137932, 0.31034482758620696, 0.6206896551724138, 1.491695445728801
0.06896551724137931, 0.3448275862068966, 0.5862068965517241, 1.3325480588374568
0.06896551724137931, 0.3793103448275862, 0.5517241379310345, 1.9469206341640952
0.06896551724137932, 0.4137931034482759, 0.5172413793103449, 3.327410929153082
0.06896551724137931, 0.4482758620689655, 0.48275862068965514, 5.466766095879926
0.06896551724137931, 0.48275862068965514, 0.4482758620689655, 8.35787836915637
0.06896551724137931, 0.5172413793103449, 0.4137931034482758, 11.993780940655242
0.06896551724137931, 0.5517241379310345, 0.3793103448275862, 16.36764401004656
0.06896551724137931, 0.5862068965517241, 0.3448275862068966, 21.472771004805324
0.06896551724137931, 0.6206896551724138, 0.31034482758620685, 27.302594960898396
0.06896551724137931, 0.6551724137931034, 0.27586206896551724, 33.85067505695851
0.06896551724137931, 0.6896551724137931, 0.2413793103448275, 41.11069329523195
0.06896551724137931, 0.7241379310344828, 0.2068965517241379, 49.07645132280743
0.06896551724137931, 0.7586206896551724, 0.1724137931034483, 57.74186738728511
0.06896551724137931, 0.7931034482758621, 0.13793103448275856, 67.10097342129279
0.06896551724137931, 0.8275862068965517, 0.10344827586206895, 77.14791225068751
0.06896551724137931, 0.8620689655172413, 0.06896551724137934, 87.8769349217599
0.06896551724137931, 0.896551724137931, 0.03448275862068961, 99.28239814283019
0.06896551724137931, 0.9310344827586207, 0.0, 111.35876183627258
0.06666666666666668, 0.9333333333333335, 0.0, 112.20517516905538
0.06451612903225806, 0.935483870967742, 0.0, 112.99979925272457
0.10344827586206896, 0.0, 0.896551724137931, 38.687153830826254
0.10344827586206896, 0.034482758620689655, 0.8620689655172414, 31.20892143981819
0.10344827586206896, 0.06896551724137931, 0.8275862068965517, 24.578441592372755
0.10344827586206896, 0.10344827586206896, 0.7931034482758621, 18.78673952241948
0.10344827586206896, 0.13793103448275862, 0.7586206896551724, 13.82503891931455
0.10344827586206896, 0.1724137931034483, 0.7241379310344828, 9.684755421173476
